,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
775,flute,66.0,62035.0,64.0,0.001461
776,flute,95.0,74001.0,93.0,0.003446
777,flute,35.0,47628.0,33.0,0.001736
778,flute,8.0,19941.0,6.0,2e-06
779,flute,21.0,37023.0,19.0,0.000422
780,flute,81.0,68470.0,79.0,0.002109
781,flute,118.0,81923.0,116.0,0.004785
782,flute,51.0,49710.0,49.0,0.000856
783,flute,56.0,56264.0,54.0,0.002065
784,flute,70.0,62870.0,68.0,0.001941
785,flute,96.0,70567.0,94.0,0.006826
786,flute,69.0,59449.0,67.0,0.002135
787,flute,10.0,27025.0,8.0,7e-06
788,flute,76.0,67476.0,74.0,0.002761
789,flute,65.0,60989.0,63.0,0.005252
790,flute,45.0,49104.0,43.0,0.000853
791,flute,119.0,83618.0,117.0,0.005161
792,flute,8.0,20754.0,6.0,2e-06
793,flute,33.0,44808.0,31.0,0.000548
794,flute,22.0,31408.0,20.0,0.000372
795,flute,74.0,60070.0,72.0,0.0037
796,flute,68.0,62918.0,66.0,0.001394
797,flute,79.0,66641.0,77.0,0.003977
798,flute,78.0,62651.0,76.0,0.003276
799,flute,110.0,79508.0,108.0,0.00595
800,flute,103.0,71807.0,101.0,0.00307
801,flute,22.0,38118.0,20.0,0.000409
802,flute,55.0,55984.0,53.0,0.001727
803,flute,119.0,83609.0,117.0,0.00896
804,flute,68.0,60882.0,66.0,0.002405
805,flute,21.0,35075.0,19.0,0.000255
806,flute,64.0,56122.0,62.0,0.002434
807,flute,61.0,57782.0,59.0,0.001839
808,flute,59.0,58508.0,57.0,0.00215
809,flute,69.0,63495.0,67.0,0.002365
810,flute,67.0,65502.0,65.0,0.001575
811,flute,76.0,62991.0,74.0,0.004028
812,flute,12.0,22031.0,10.0,2.3e-05
813,flute,49.0,55423.0,47.0,0.001107
814,flute,51.0,48368.0,49.0,0.001262
815,flute,66.0,62685.0,64.0,0.002039
816,flute,69.0,58657.0,67.0,0.003124
817,flute,47.0,54151.0,45.0,0.002804
818,flute,68.0,60964.0,66.0,0.003411
819,flute,31.0,44117.0,29.0,0.000483
820,flute,62.0,61839.0,60.0,0.001887
821,flute,57.0,59901.0,55.0,0.002237
822,flute,119.0,76721.0,117.0,0.005872
823,flute,81.0,67774.0,79.0,0.003782
824,flute,105.0,75531.0,103.0,0.00467
825,flute,37.0,45101.0,35.0,0.000616
826,flute,120.0,79160.0,118.0,0.006125
827,flute,31.0,42813.0,29.0,0.000552
828,flute,14.0,27163.0,12.0,5.8e-05
829,flute,118.0,81902.0,116.0,0.003817
830,flute,54.0,53575.0,52.0,0.001306
831,flute,8.0,21869.0,6.0,1e-06
832,flute,68.0,62376.0,66.0,0.004598
833,flute,40.0,49121.0,38.0,0.002398
834,flute,12.0,24889.0,10.0,1.3e-05
835,flute,110.0,80584.0,108.0,0.003241
836,flute,96.0,74201.0,94.0,0.006448
837,flute,96.0,72436.0,94.0,0.005805
838,flute,82.0,68471.0,80.0,0.003004
839,flute,13.0,30006.0,11.0,3.7e-05
840,flute,108.0,79318.0,106.0,0.004606
841,flute,88.0,73654.0,86.0,0.003579
842,flute,114.0,76799.0,112.0,0.006266
843,flute,48.0,57171.0,46.0,0.00235
844,flute,90.0,65102.0,88.0,0.003372
845,flute,16.0,31050.0,14.0,0.000101
846,flute,36.0,43795.0,34.0,0.00051
847,flute,90.0,67052.0,88.0,0.004009
848,flute,29.0,41522.0,27.0,0.000531
849,flute,13.0,25252.0,11.0,3.1e-05
850,flute,75.0,64035.0,73.0,0.003317
851,flute,12.0,26547.0,10.0,2.1e-05
852,flute,118.0,79655.0,116.0,0.005098
853,flute,43.0,49659.0,41.0,0.001488
854,flute,53.0,47464.0,51.0,0.001193
855,flute,114.0,81356.0,112.0,0.004196
856,flute,10.0,22012.0,8.0,6e-06
857,flute,111.0,78745.0,109.0,0.003387
858,flute,23.0,36537.0,21.0,0.000562
859,flute,120.0,79551.0,118.0,0.006804
860,flute,97.0,74661.0,95.0,0.002881
861,flute,117.0,82115.0,115.0,0.005482
862,flute,9.0,16138.0,7.0,2e-06
863,flute,96.0,74616.0,94.0,0.005043
864,flute,78.0,66465.0,76.0,0.003986
865,flute,62.0,59886.0,60.0,0.0024
866,flute,78.0,62801.0,76.0,0.006159
867,flute,65.0,57458.0,63.0,0.002481
868,flute,64.0,56932.0,62.0,0.003429
869,flute,33.0,47463.0,31.0,0.001597
870,flute,28.0,40989.0,26.0,0.000529
871,flute,66.0,63240.0,64.0,0.002316
872,flute,42.0,51252.0,40.0,0.00088
873,flute,45.0,51074.0,43.0,0.000582
874,flute,118.0,81854.0,116.0,0.009507
875,flute,68.0,61920.0,66.0,0.00567
876,flute,54.0,55771.0,52.0,0.003156
877,flute,86.0,67845.0,84.0,0.002737
878,flute,52.0,51691.0,50.0,0.001007
879,flute,84.0,70908.0,82.0,0.006108
880,flute,96.0,75286.0,94.0,0.004755
881,flute,44.0,52172.0,42.0,0.000614
882,flute,66.0,59878.0,64.0,0.002444
883,flute,60.0,51275.0,58.0,0.002398
884,flute,36.0,40953.0,34.0,0.000903
885,flute,46.0,48777.0,44.0,0.001512
886,flute,56.0,57472.0,54.0,0.001955
887,flute,92.0,67522.0,90.0,0.002211
888,flute,65.0,57748.0,63.0,0.004382
889,flute,99.0,76498.0,97.0,0.007309
890,flute,40.0,50744.0,38.0,0.001449
891,flute,112.0,79445.0,110.0,0.007137
892,flute,47.0,52547.0,45.0,0.001451
893,flute,17.0,30557.0,15.0,0.000179
894,flute,51.0,52412.0,49.0,0.001647
895,flute,26.0,39497.0,24.0,0.000556
896,flute,101.0,76282.0,99.0,0.004592
897,flute,113.0,82162.0,111.0,0.009423
898,flute,62.0,59945.0,60.0,0.002937
899,flute,84.0,65419.0,82.0,0.002399
900,flute,55.0,54657.0,53.0,0.001185
901,flute,73.0,62719.0,71.0,0.002397
902,flute,15.0,27473.0,13.0,0.000109
903,flute,66.0,57951.0,64.0,0.001953
904,flute,27.0,39131.0,25.0,0.000569
905,flute,86.0,68530.0,84.0,0.004568
906,flute,33.0,43114.0,31.0,0.000436
907,flute,78.0,69910.0,76.0,0.005299
908,flute,27.0,43775.0,25.0,0.000227
909,flute,105.0,73326.0,103.0,0.006481
910,flute,80.0,64379.0,78.0,0.004501
911,flute,66.0,57479.0,64.0,0.001073
912,flute,101.0,71759.0,99.0,0.004347
913,flute,96.0,71016.0,94.0,0.007627
914,flute,11.0,22262.0,9.0,1.1e-05
915,flute,23.0,38168.0,21.0,0.000545
916,flute,28.0,39041.0,26.0,0.000902
917,flute,37.0,48025.0,35.0,0.001101
918,flute,42.0,50467.0,40.0,0.001004
919,flute,37.0,45466.0,35.0,0.0006
920,flute,29.0,39731.0,27.0,0.00053
921,flute,21.0,35848.0,19.0,0.000354
922,flute,76.0,60802.0,74.0,0.003344
923,flute,37.0,41603.0,35.0,0.000749
924,flute,34.0,46836.0,32.0,0.000933
925,flute,109.0,81309.0,107.0,0.005427
926,flute,91.0,74139.0,89.0,0.004729
927,flute,77.0,66719.0,75.0,0.002868
928,flute,15.0,28388.0,13.0,6.7e-05
929,flute,70.0,61714.0,68.0,0.002916
930,flute,28.0,43162.0,26.0,0.001126
931,flute,93.0,72687.0,91.0,0.002811
932,flute,88.0,66600.0,86.0,0.003938
933,flute,67.0,56414.0,65.0,0.001851
934,flute,74.0,60482.0,72.0,0.00515
935,flute,72.0,67392.0,70.0,0.002053
