,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
28371,12,26526.0,10.0,1.2e-05,26526.0,10.0,0.00023,26526.0,10.0,0.258505
28372,12,24619.0,10.0,1.4e-05,24619.0,10.0,0.000351,24619.0,10.0,0.266867
28373,12,30461.0,10.0,1.7e-05,30461.0,10.0,0.000365,30461.0,10.0,0.373796
28374,12,28039.0,10.0,8e-06,27931.0,10.0,0.000204,27931.0,10.0,0.321045
28375,12,28642.0,10.0,1.9e-05,28642.0,10.0,0.000313,28642.0,10.0,0.356048
28376,12,24858.0,10.0,1.2e-05,24858.0,10.0,0.000193,24858.0,10.0,0.280448
28377,12,23576.0,10.0,1.9e-05,23576.0,10.0,0.000288,23576.0,10.0,0.359454
28378,12,29348.0,10.0,1.9e-05,29348.0,10.0,0.000272,29348.0,10.0,0.281281
28379,12,24450.0,10.0,1.5e-05,24450.0,10.0,0.00022,24450.0,10.0,0.26274
28380,12,23656.0,10.0,1.7e-05,23656.0,10.0,0.00027,23656.0,10.0,0.346058
28381,12,29251.0,10.0,2.1e-05,29251.0,10.0,0.0003,29251.0,10.0,0.496375
28382,12,23354.0,10.0,1.4e-05,23354.0,10.0,0.000163,23354.0,10.0,0.194244
28383,12,24947.0,10.0,1.7e-05,24723.0,10.0,0.000304,24723.0,10.0,0.359119
